suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
KEYSBOROUGH,3173,Pomeranian X,Fawn,Y,2009-03
KEYSBOROUGH,3173,German Shepherd,Black & Tan,Y,2006-02
KEYSBOROUGH,3173,Pomeranian,Fawn,Y,2012-05
KEYSBOROUGH,3173,Rottweiler X,Black,N,2003-07
KEYSBOROUGH,3173,Labrador,Gold,N,2011-03
KEYSBOROUGH,3173,Kelpie X,Brown,N,2011-02
KEYSBOROUGH,3173,Cavoodle,Cream,Y,2008-07
KEYSBOROUGH,3173,Fox Terrier X,Brown,N,2005-10
KEYSBOROUGH,3173,Staffordshire Bull Terrier X,Tan & White,N,2014-07
KEYSBOROUGH,3173,Jack Russell Terrier,White & Brown,Y,2010-01
KEYSBOROUGH,3173,Labrador X,Black,N,2007-06
KEYSBOROUGH,3173,Jack Russell Terrier,White & Tan,Y,2004-06
KEYSBOROUGH,3173,Pomeranian,Black,N,2005-10
KEYSBOROUGH,3173,Labrador X,Grey,Y,2011-05
KEYSBOROUGH,3173,Pomeranian,Tan,N,2008-02
KEYSBOROUGH,3173,Blue Heeler,Tri Coloured,Y,2010-07
KEYSBOROUGH,3173,Papillon,White & Brown,N,2009-02
KEYSBOROUGH,3173,Cattle Dog,Red,N,2013-09
KEYSBOROUGH,3173,American Bull Dog X,Black & White,Y,2007-12
KEYSBOROUGH,3173,Kelpie X,Black & White,Y,2005-03
DANDENONG,3175,Shih Tzu X,Brown,Y,2005-02
DANDENONG,3175,German Shepherd,Red & Tan,N,2006-09
DANDENONG,3175,Labrador,Brown,Y,2005-10
NOBLE PARK,3174,Chihuahua,Black,Y,2011-05
NOBLE PARK,3174,Labrador,Chocolate,Y,2004-04
NOBLE PARK,3174,Border Collie,Black & White,Y,2015-09
NOBLE PARK,3174,Cavalier King Charles Spaniel X,Tan,N,2014-08
NOBLE PARK,3174,Pug,Black,N,2007-08
NOBLE PARK,3174,German Shepherd X,Black,Y,2003-11
SPRINGVALE SOUTH,3172,Miniature Dachshund,Black & Tan,Y,2009-06
SPRINGVALE SOUTH,3172,Miniature Dachshund,Black & Tan,Y,2005-06
SPRINGVALE SOUTH,3172,Scotch Terrier,Brindle,Y,2004-10
SPRINGVALE SOUTH,3172,Miniature Dachshund,Black & Tan,N,2014-11
