suburb,postcode,pri_breed,pri_colour,de_sexed,yrmonth
NOBLE PARK,3174,Chihuahua,Sable,N,2011-06
NOBLE PARK,3174,Chihuahua,White & Tan,Y,2014-11
NOBLE PARK,3174,Great Dane X,Tan,N,2010-03
NOBLE PARK,3174,King Charles Spaniel,Tan & White,Y,2012-05
NOBLE PARK,3174,Maltese X,Cream,N,2009-01
NOBLE PARK,3174,Miniature Fox Terrier X,Black & White,Y,2015-03
NOBLE PARK,3174,Jack Russell Terrier X,Black,N,2004-02
DANDENONG,3175,Jack Russell Terrier,Tri Coloured,Y,2012-07
DANDENONG,3175,Maltese,White,Y,2008-03
DANDENONG,3175,Silky Terrier X,Black & Grey,N,2004-11
DANDENONG,3175,Siberian Husky X,Black & Tan,N,2015-11
DANDENONG,3175,Shih Tzu X,White & Tan,N,2005-12
DANDENONG,3175,German Shepherd,Black & Tan,Y,2012-06
DANDENONG,3175,American Staffordshire Bull Terrier,Blue & White,N,2013-11
DANDENONG,3175,Australian Shepherd,Grey & White,N,2010-12
DANDENONG,3175,Staffordshire Bull Terrier X,Tri Coloured,N,2014-02
DANDENONG,3175,Jack Russell Terrier,White & Brown,N,2014-07
DANDENONG,3175,Heeler X,Tan,Y,2009-02
DANDENONG,3175,Beagle,Tri Coloured,Y,2009-03
DANDENONG,3175,Cavalier King Charles Spaniel X,Brindle & White,Y,2015-01
DANDENONG,3175,Cavalier King Charles Spaniel X,Tri Coloured,Y,2013-05
DANDENONG,3175,Lakeland Terrier,Red,Y,2014-08
DANDENONG,3175,Australian Terrier X,Tan & White,Y,2013-11
DANDENONG,3175,Australian Terrier,Tan,Y,2013-11
DANDENONG,3175,Rottweiler,Black & Tan,Y,2009-04
DANDENONG,3175,Rhodesian Ridgeback,Tan,Y,2010-08
DANDENONG,3175,Akita,Tri Coloured,Y,2012-05
DANDENONG,3175,American Pitbull Terrier,White,Y,2014-04
DANDENONG NORTH,3175,Crested Powder Puff,Brown & White,N,2010-03
DANDENONG NORTH,3175,Papillon,Tri Coloured,Y,2013-05
DANDENONG NORTH,3175,Maltese X,White & Grey,N,2011-10
DANDENONG NORTH,3175,Maltese X,White,N,2011-03
DANDENONG NORTH,3175,Whippet X,Tri Coloured,Y,2013-07
DANDENONG NORTH,3175,Maltese,White,Y,2008-12
DANDENONG NORTH,3175,Cavalier King Charles Spaniel,Blenheim,Y,2003-10
DANDENONG NORTH,3175,Maltese X,Black & White,Y,2003-02
DANDENONG NORTH,3175,Cavalier King Charles Spaniel X,Tan,Y,2004-08
DANDENONG NORTH,3175,Jack Russell Terrier,Tan & White,Y,2004-01
DANDENONG NORTH,3175,Miniature Fox Terrier,Tri Coloured,Y,2005-01
DANDENONG NORTH,3175,Dachshund,Tan,N,2003-12
DANDENONG NORTH,3175,Dachshund,Red,N,2012-08
NOBLE PARK NORTH,3174,English Staffordshire Bull Terrier X,Brown,Y,2013-03
NOBLE PARK NORTH,3174,Staffordshire Bull Terrier,Brindle & White,N,2011-09
NOBLE PARK NORTH,3174,Staffordshire Bull Terrier X,White,N,2014-03
NOBLE PARK NORTH,3174,Border Collie,Black & White,N,2015-01
NOBLE PARK NORTH,3174,Dachshund X,Tan & White,N,2013-10
NOBLE PARK NORTH,3174,Great Dane,White & Blue,Y,2015-08
NOBLE PARK NORTH,3174,Great Dane X,Black,N,2011-08
NOBLE PARK NORTH,3174,Bichon Frise X,White & Cream,Y,2004-08
NOBLE PARK NORTH,3174,Maltese X,White,Y,2012-09
NOBLE PARK NORTH,3174,Jack Russell Terrier,White & Brown,N,2013-10
NOBLE PARK NORTH,3174,Maltese X,Brown & White,Y,2005-04
NOBLE PARK,3174,Kelpie X,Black,Y,2009-10
NOBLE PARK,3174,Chihuahua,Beige & Tan,Y,2000-05
NOBLE PARK,3174,Poodle X,Black,Y,1998-05
NOBLE PARK,3174,Toy Poodle,Silver,Y,2010-03
NOBLE PARK,3174,Shih Tzu,Cream,N,2007-08
NOBLE PARK,3174,Fox Terrier X,Brown,Y,2001-06
NOBLE PARK,3174,Cairn Terrier,Wheaten,N,2001-05
NOBLE PARK,3174,Jack Russell Terrier X,Black & White,Y,2014-05
NOBLE PARK,3174,Staffordshire Bull Terrier X,Black & White,Y,2014-12
NOBLE PARK,3174,Maltese X,White & Cream,N,2007-11
NOBLE PARK,3174,Maltese X,White,N,2013-10
NOBLE PARK,3174,Maltese X,White & Grey,Y,2005-11
NOBLE PARK,3174,Japanese Chin X,White & Tan,Y,2004-10
NOBLE PARK,3174,Fox Terrier X,Black & Brown,Y,2006-02
NOBLE PARK,3174,Maltese X,White & Apricot,Y,2003-10
NOBLE PARK,3174,Pit Bull Terrier X,Brown & Tan,N,2007-03
NOBLE PARK,3174,Shih Tzu X,Apricot & White,Y,2008-03
NOBLE PARK,3174,Chihuahua,Tan,Y,2000-04
NOBLE PARK,3174,Jack Russell Terrier,White & Tan,N,2006-11
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,N,2006-06
NOBLE PARK,3174,Kelpie X,Black & Grey,Y,2014-04
NOBLE PARK,3174,Kelpie X,Black,Y,2014-04
NOBLE PARK,3174,Beagle,Tri Coloured,N,2016-01
NOBLE PARK,3174,American Staffordshire Bull Terrier,Brown,N,2008-08
NOBLE PARK,3174,Pomeranian X,White & Brown,N,2011-04
NOBLE PARK,3174,Pomeranian X,Black & Tan,N,2011-08
DANDENONG,3175,Staffordshire Bull Terrier X,Brown,Y,2015-11
NOBLE PARK,3174,Staffordshire Bull Terrier,Tan,Y,2013-07
NOBLE PARK,3174,Kelpie,Brown & Tan,Y,2003-06
NOBLE PARK,3174,Border Collie X,Chocolate,Y,2006-06
NOBLE PARK,3174,Jack Russell Terrier X,White & Brown,N,2015-03
NOBLE PARK,3174,Japanese Spitz,White,N,2014-05
DANDENONG,3175,Dalmatian,Black & White,N,2011-01
DANDENONG,3175,Cocker Spaniel,Black,Y,2009-01
KEYSBOROUGH,3173,Jack Russell Terrier X,Tri Coloured,Y,2011-10
KEYSBOROUGH,3173,Maltese X,Black & White,N,2012-08
KEYSBOROUGH,3173,Maltese X,Brown & Tan,Y,2004-02
NOBLE PARK,3174,Cocker Spaniel,Black,Y,2014-02
NOBLE PARK,3174,Staffordshire Bull Terrier X,Brindle & White,N,2009-03
NOBLE PARK,3174,Beagle,White & Red,N,2010-06
NOBLE PARK,3174,Beagle,Tri Coloured,N,2012-03
NOBLE PARK,3174,Border Collie,Black & White,Y,2010-01
NOBLE PARK,3174,Jack Russell Terrier,Black & White,Y,2006-09
NOBLE PARK,3174,Domestic,Brown & Black,Y,2004-11
NOBLE PARK,3174,Labrador X,Chocolate,Y,2007-01
DANDENONG,3175,Staffordshire Bull Terrier,Brown,Y,2013-12
DANDENONG,3175,German Shepherd,Black & Brown,N,2006-04
DANDENONG,3175,German Shepherd X,Black & Tan,N,2011-04
DANDENONG,3175,German Shepherd,Black,N,2011-09
DANDENONG,3175,Golden Retriever,Gold,N,2012-04
DANDENONG,3175,British Bulldog,Red & White,Y,2010-12
DANDENONG,3175,Cavalier King Charles Spaniel,Blenheim,N,2012-11
DANDENONG,3175,Cavalier King Charles Spaniel,White & Tan,N,2012-11
DANDENONG,3175,King Charles Spaniel,Blenheim,N,2012-10
DANDENONG,3175,Bull Mastiff X,Tan & Brindle,Y,2014-04
DANDENONG,3175,Kelpie X,Black & White,N,2008-06
DANDENONG,3175,German Shepherd,Black,N,2006-06
SPRINGVALE SOUTH,3172,Cavalier King Charles Spaniel,Black & Tan,N,2013-01
NOBLE PARK,3174,Maltese,White & Apricot,N,2009-10
NOBLE PARK,3174,Maltese,White & Apricot,N,2009-10
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,Y,2009-05
NOBLE PARK,3174,Jack Russell Terrier X,Tri Coloured,Y,2014-04
NOBLE PARK,3174,Shih Tzu X,Black & White,Y,2015-07
NOBLE PARK,3174,Shih Tzu,Black & White,N,2011-04
NOBLE PARK,3174,Maltese X,Fawn & White,N,2008-02
SPRINGVALE,3171,English Staffordshire Bull Terrier,White,Y,2011-09
SPRINGVALE SOUTH,3172,Jack Russell Terrier,White & Tan,Y,2006-01
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Blue & White,N,2014-12
DANDENONG NORTH,3175,Staffordshire Bull Terrier,Blue,N,2014-12
DANDENONG NORTH,3175,Labrador X,Cream,Y,2013-11
DANDENONG NORTH,3175,Koolie X,Black & Grey,Y,2004-04
DANDENONG NORTH,3175,English Staffordshire Bull Terrier,Tan,Y,2010-01
DANDENONG NORTH,3175,Golden Retriever,White,Y,2007-03
DANDENONG NORTH,3175,Japanese Spitz,White,N,2012-12
DANDENONG NORTH,3175,Shih Tzu,White & Tan,Y,2007-12
DANDENONG NORTH,3175,Staffordshire Bull Terrier X,Brindle,N,2004-12
NOBLE PARK,3174,Jack Russell Terrier X,White & Brown,Y,2010-09
NOBLE PARK,3174,Bull Terrier,Tri Coloured,Y,2008-04
DANDENONG NORTH,3175,Jack Russell Terrier X,Tan & White,Y,2002-03
DANDENONG NORTH,3175,Maltese X,White & Tan,Y,2009-10
NOBLE PARK NORTH,3174,Siberian Husky,Black & White,Y,2014-10
NOBLE PARK NORTH,3174,Pomeranian X,Cream,Y,2000-04
NOBLE PARK NORTH,3174,Staffordshire Bull Terrier,Black,N,2014-02
NOBLE PARK NORTH,3174,Siberian Husky X,Tan & White,Y,2014-01
KEYSBOROUGH,3173,Italian Corso,Tri Coloured,N,2009-09
KEYSBOROUGH,3173,Dogue De Bordeaux,Red & White,N,2013-08
KEYSBOROUGH,3173,Chihuahua X,Tan,Y,2011-11
KEYSBOROUGH,3173,Jack Russell Terrier,Tan & White,Y,2004-10
KEYSBOROUGH,3173,Jack Russell Terrier,Tri Coloured,Y,2005-04
KEYSBOROUGH,3173,Maltese X,Tri Coloured,Y,2013-04
KEYSBOROUGH,3173,Poodle X,Black,Y,2015-02
KEYSBOROUGH,3173,Labrador,Cream,N,2008-06
KEYSBOROUGH,3173,Pug,Fawn,Y,2014-07
KEYSBOROUGH,3173,Rottweiler,Black & Tan,N,2016-04
NOBLE PARK NORTH,3174,Pug,Fawn,Y,2005-12
NOBLE PARK NORTH,3174,Jack Russell Terrier,White & Tan,N,2006-11
NOBLE PARK NORTH,3174,American Staffordshire Bull Terrier,Brown,Y,2015-01
SPRINGVALE SOUTH,3172,Cavalier King Charles Spaniel,Black & Tan,N,2011-03
SPRINGVALE SOUTH,3172,Pomeranian X,Brown,Y,2015-10
SPRINGVALE SOUTH,3172,Pomeranian X,Gold & Brown,N,1999-01
DANDENONG,3175,Beagle,Tri Coloured,N,2012-03
DANDENONG,3175,Maltese X,White,N,2015-07
DANDENONG,3175,Jack Russell Terrier,White & Brown,N,2009-12
NOBLE PARK,3174,Staffordshire Bull Terrier X,White,Y,2013-05
NOBLE PARK,3174,Jack Russell Terrier X,Black,Y,2013-02
NOBLE PARK,3174,German Shepherd,Black & Cream,Y,2012-12
NOBLE PARK,3174,Maltese X,Tan & White,N,2006-03
DANDENONG NORTH,3175,Poodle X,Apricot,Y,2012-11
DANDENONG NORTH,3175,Beagle,Tri Coloured,N,2010-07
SPRINGVALE,3171,Labrador,White,N,2012-08
SPRINGVALE,3171,Samoyed X,White,Y,2007-07
SPRINGVALE,3171,Dogue De Bordeaux,Mahogany,Y,2009-04
SPRINGVALE,3171,Dogue De Bordeaux,Mahogany,N,2014-07
DANDENONG NORTH,3175,Terrier X,Black & White,N,2000-09
DANDENONG NORTH,3175,Koolie,Tri Coloured,Y,2009-02
DANDENONG NORTH,3175,Boxer,Fawn & White,Y,2008-07
DANDENONG NORTH,3175,Pomeranian X,Tan,Y,2011-08
DANDENONG NORTH,3175,Golden Retriever,Cream,Y,2005-10
KEYSBOROUGH,3173,Pomeranian,Black & Tan,N,2008-07
KEYSBOROUGH,3173,Lhasa Apso,Grey & Cream,N,2000-04
KEYSBOROUGH,3173,Lhasa Apso,White,Y,2000-04
KEYSBOROUGH,3173,Labrador X,Black,Y,2006-05
KEYSBOROUGH,3173,Kelpie,Black & Tan,Y,2013-04
NOBLE PARK,3174,Beagle,Tri Coloured,N,2014-09
NOBLE PARK,3174,Beagle,Tri Coloured,N,2014-10
NOBLE PARK,3174,Beagle,Tri Coloured,Y,2008-05
NOBLE PARK,3174,Kelpie X,Red & White,Y,2000-05
NOBLE PARK,3174,Jack Russell Terrier,Tan & White,Y,2009-05
NOBLE PARK,3174,Border Collie X,Tri Coloured,Y,2010-07
NOBLE PARK,3174,Great Dane,Blue,N,2011-01
NOBLE PARK,3174,Samoyed,White,N,2010-11
NOBLE PARK,3174,Japanese Spitz,White,N,2012-09
NOBLE PARK,3174,Chihuahua X,Tri Coloured,Y,2002-03
NOBLE PARK,3174,Jack Russell Terrier,Tan & White,N,2004-09
NOBLE PARK,3174,Blue Heeler X,Black & White,Y,2004-12
KEYSBOROUGH,3173,Pomeranian X,Brown & Black,Y,2012-05
KEYSBOROUGH,3173,Pembroke Corgi,Red & White,Y,2005-01
KEYSBOROUGH,3173,Rottweiler X,Black & Tan,Y,2008-09
KEYSBOROUGH,3173,Labrador X,Black & White,Y,2007-06
NOBLE PARK NORTH,3174,Pomeranian,Tan & White,N,2009-01
NOBLE PARK NORTH,3174,Yorkshire Terrier X,Unknown,N,2008-10
NOBLE PARK NORTH,3174,Shih Tzu X,White & Grey,N,2008-04
NOBLE PARK NORTH,3174,Golden Retriever,Gold,Y,2005-02
NOBLE PARK NORTH,3174,Pug X,Fawn,Y,2013-07
NOBLE PARK NORTH,3174,Toy Poodle X,White,N,2014-07
NOBLE PARK NORTH,3174,Maltese,Yellow,N,2011-05
NOBLE PARK NORTH,3174,Maltese X,Black & Grey,N,2008-04
KEYSBOROUGH,3173,Shar Pei,Tan,N,2007-08
KEYSBOROUGH,3173,Poodle X,Black,Y,2010-10
DANDENONG NORTH,3175,Jack Russell Terrier X,White & Brown,N,2005-09
DANDENONG NORTH,3175,Lhasa Apso,Brown & White,N,2014-01
DANDENONG NORTH,3175,Maltese X,White,Y,2000-12
DANDENONG NORTH,3175,English Staffordshire Bull Terrier,Black & White,N,2010-01
DANDENONG NORTH,3175,Jack Russell Terrier,Brown & White,Y,2003-01
DANDENONG,3175,American Bull Dog,White,N,2015-06
DANDENONG,3175,Pomeranian X,Tan,N,2012-08
DANDENONG,3175,Maltese X,White & Tan,Y,2004-07
DANDENONG,3175,American Bull Dog,White & Brown,N,2014-09
DANDENONG,3175,Pomeranian X,Tan,N,2007-04
DANDENONG,3175,Border Collie X,Tri Coloured,Y,2011-05
NOBLE PARK NORTH,3174,Lhasa Apso X,Black & Grey,Y,2007-11
NOBLE PARK NORTH,3174,German Shepherd X,Black & White,N,2010-09
NOBLE PARK NORTH,3174,Pomeranian,Tan,Y,2014-03
NOBLE PARK NORTH,3174,Maltese X,Tri Coloured,Y,2014-11
SPRINGVALE,3171,Miniature Fox Terrier,Black & White,Y,2008-08
SPRINGVALE,3171,Tibetan Spaniel,Black & White,Y,2012-11
SPRINGVALE,3171,Tibetan Spaniel,Black & White,Y,2012-11
SPRINGVALE,3171,Kelpie X,Black & White,Y,2009-05
SPRINGVALE,3171,Staffordshire Bull Terrier X,Black & White,Y,2014-11
SPRINGVALE,3171,Beagle,Tri Coloured,Y,2011-01
SPRINGVALE,3171,Beagle X,Tri Coloured,Y,2010-01
KEYSBOROUGH,3173,German Shepherd,Black & Tan,N,2011-09
KEYSBOROUGH,3173,Boxer,Brindle,Y,2012-08
KEYSBOROUGH,3173,Cocker Spaniel,Red,N,2011-08
KEYSBOROUGH,3173,Jack Russell Terrier X,Tan,Y,2009-10
NOBLE PARK,3174,Rottweiler,Black & Tan,N,2012-07
NOBLE PARK,3174,Jack Russell Terrier,Tri Coloured,Y,2008-07
NOBLE PARK,3174,Bull Mastiff X,Tan & Black,Y,2007-11
NOBLE PARK,3174,Jack Russell Terrier X,White & Tan,Y,2013-09
NOBLE PARK,3174,Boxer,Brindle,Y,2013-11
NOBLE PARK,3174,American Staffordshire Bull Terrier,Black & White,N,2013-02
NOBLE PARK,3174,Staffordshire Bull Terrier X,Black & White,N,2011-08
NOBLE PARK,3174,Maltese,White,Y,2008-10
NOBLE PARK,3174,Maltese X,White & Grey,N,2004-12
NOBLE PARK,3174,Belgian Shepherd,Black & Grey,Y,2003-11
NOBLE PARK,3174,Keeshond,Tri Coloured,Y,2012-09
NOBLE PARK,3174,Maltese X,Cream,N,2002-11
NOBLE PARK,3174,Corgi X,Tri Coloured,Y,2006-03
NOBLE PARK,3174,Chihuahua,Brown & White,N,2005-07
NOBLE PARK,3174,Chihuahua X,Apricot,N,2010-09
NOBLE PARK,3174,Pomeranian X,White & Apricot,Y,2006-12
NOBLE PARK,3174,Chihuahua X,Black,Y,2010-01
NOBLE PARK,3174,Chihuahua X,Brown & White,Y,2012-01
NOBLE PARK,3174,Staffordshire Bull Terrier X,Brindle,N,2004-01
NOBLE PARK,3174,Staffordshire Bull Terrier,Black & White,N,2005-10
NOBLE PARK,3174,Cavalier King Charles Spaniel X,Tri Coloured,N,2004-06
NOBLE PARK,3174,Keeshond,Tan & Black,Y,2004-10
NOBLE PARK,3174,Lhasa Apso,Black & White,Y,2014-02
NOBLE PARK,3174,Shih Tzu X,White,N,2004-10
NOBLE PARK,3174,Fox Terrier X,White & Sable,Y,2009-01
NOBLE PARK,3174,Papillon X,White & Tan,Y,2003-08
NOBLE PARK,3174,Chihuahua X,Tan,Y,2007-02
NOBLE PARK,3174,Labrador,Gold,Y,2013-04
NOBLE PARK,3174,Beagle,Tri Coloured,Y,2010-02
NOBLE PARK,3174,Whippet,Fawn & White,Y,2001-02
NOBLE PARK,3174,Whippet,Sable,Y,2012-11
NOBLE PARK,3174,Whippet,Sable,Y,2014-02
NOBLE PARK,3174,Staffordshire Bull Terrier X,White & Black,Y,2009-07
NOBLE PARK,3174,Jack Russell Terrier X,Brindle & White,N,2009-10
NOBLE PARK,3174,Terrier X,White & Apricot,Y,2007-07
NOBLE PARK,3174,Terrier,Black & White,Y,2015-02
NOBLE PARK,3174,Fox Terrier,Black & White,Y,2012-03
NOBLE PARK,3174,German Shepherd X,Black & Tan,N,2008-01
NOBLE PARK,3174,Chihuahua,Black,N,2004-03
NOBLE PARK,3174,Chihuahua,White,N,2008-03
NOBLE PARK,3174,Pomeranian X,Tan & Black,N,2003-09
NOBLE PARK,3174,Kelpie,Black,N,1990-05
NOBLE PARK,3174,Jack Russell Terrier X,Tan & White,Y,2005-05
NOBLE PARK,3174,Jack Russell Terrier,Black,Y,2012-08
SPRINGVALE,3171,Bull Terrier,White,Y,2007-10
SPRINGVALE,3171,Bull Terrier,White,Y,2004-10
SPRINGVALE,3171,German Shepherd,Tan,N,2014-05
SPRINGVALE,3171,Border Collie,Black & White,N,2010-12
SPRINGVALE,3171,Jack Russell Terrier X,White & Tan,Y,2005-10
SPRINGVALE,3171,Bull Mastiff X,Tan,Y,2004-11
SPRINGVALE,3171,Maltese X,Brown & White,Y,2008-03
SPRINGVALE,3171,Jack Russell Terrier,Tan & White,Y,2014-05
SPRINGVALE,3171,Beagle X,White & Tan,Y,2008-05
SPRINGVALE,3171,Pomeranian,Black,Y,2005-11
SPRINGVALE,3171,Maltese,White,N,2008-07
SPRINGVALE,3171,Maltese X,White & Brown,N,2008-10
SPRINGVALE,3171,Cross Breed,Black & White,Y,2003-05
DANDENONG,3175,Samoyed,White,N,2010-06
DANDENONG,3175,Miniature Poodle,Apricot,Y,2001-04
DANDENONG,3175,Border Collie,Black & White,Y,2003-04
DANDENONG,3175,Pomeranian,Brown,N,2012-07
DANDENONG,3175,Staffordshire Bull Terrier X,Brindle,Y,2012-11
DANDENONG,3175,German Shepherd,Tri Coloured,N,2011-12
NOBLE PARK,3174,Dalmatian,White & Black,Y,2009-11
NOBLE PARK,3174,Labrador,Brown & White,Y,2007-06
NOBLE PARK,3174,Blue Heeler,Black & White,Y,2006-06
NOBLE PARK,3174,German Shepherd,Black & Brown,Y,2012-02
NOBLE PARK,3174,Shar Pei,Gold,N,2006-05
KEYSBOROUGH,3173,Labrador X,Brown & Tan,N,2010-12
NOBLE PARK NORTH,3174,Shih Tzu X,Black & White,Y,2006-04
NOBLE PARK NORTH,3174,Labrador,Black,N,2008-05
NOBLE PARK NORTH,3174,Labrador,Gold,N,2008-05
NOBLE PARK NORTH,3174,Poodle X,Cream,Y,2013-02
NOBLE PARK NORTH,3174,Australian Cattle Dog,Red & White,Y,2009-02
NOBLE PARK NORTH,3174,Pomeranian X,Cream & White,N,2012-09
NOBLE PARK NORTH,3174,Maltese,White,N,2007-05
NOBLE PARK NORTH,3174,Maltese X,Charcoal,N,2003-10
NOBLE PARK NORTH,3174,German Shepherd,Brown,N,2008-04
NOBLE PARK NORTH,3174,Maltese X,White,Y,2010-10
NOBLE PARK NORTH,3174,German Shepherd,Sable,N,2014-05
NOBLE PARK NORTH,3174,Rottweiler,Black & Tan,Y,2007-03
SPRINGVALE SOUTH,3172,Kelpie X,Black & Tan,Y,2007-02
SPRINGVALE SOUTH,3172,Jack Russell Terrier X,White,Y,2007-08
NOBLE PARK,3174,Labrador X,Tan,Y,2005-08
DANDENONG,3175,Jack Russell Terrier,White & Tan,Y,2012-04
DANDENONG,3175,Beagle,Tri Coloured,N,2013-01
KEYSBOROUGH,3173,Labrador X,Brown,Y,2013-08
KEYSBOROUGH,3173,Labrador,Gold,N,2008-01
KEYSBOROUGH,3173,Miniature Fox Terrier,Tri Coloured,Y,2005-06
KEYSBOROUGH,3173,Cavalier King Charles Spaniel,Blenheim,Y,2003-07
KEYSBOROUGH,3173,Yorkshire Terrier,Blonde,Y,2007-02
KEYSBOROUGH,3173,West Highland Terrier,White,Y,2007-04
KEYSBOROUGH,3173,Jack Russell Terrier,Brown & White,Y,2007-06
KEYSBOROUGH,3173,Jack Russell Terrier,Tri Coloured,N,2000-12
KEYSBOROUGH,3173,Maltese X,Tri Coloured,Y,2007-02
KEYSBOROUGH,3173,Pomeranian,Brown & Cream,Y,2015-05
KEYSBOROUGH,3173,Pomeranian,Brown,Y,2015-05
KEYSBOROUGH,3173,Maltese X,Tri Coloured,Y,2015-07
KEYSBOROUGH,3173,Shih Tzu X,White,Y,2009-05
KEYSBOROUGH,3173,Shih Tzu X,Black & White,Y,2010-03
KEYSBOROUGH,3173,Maltese X,Cream,Y,2001-04
KEYSBOROUGH,3173,Beagle,Tri Coloured,Y,2010-01
KEYSBOROUGH,3173,Maltese X,Tri Coloured,N,2008-06
KEYSBOROUGH,3173,Maltese X,White,Y,2003-03
KEYSBOROUGH,3173,Jack Russell Terrier X,White & Brown,Y,2008-02
KEYSBOROUGH,3173,Maltese X,White & Brown,Y,2006-09
KEYSBOROUGH,3173,German Shepherd,White,Y,2009-03
KEYSBOROUGH,3173,Cavoodle,Silver,Y,2008-03
KEYSBOROUGH,3173,Rhodesian Ridgeback,Red,Y,2009-08
KEYSBOROUGH,3173,Jack Russell Terrier X,Black & White,Y,2012-12
KEYSBOROUGH,3173,Border Collie,Black & White,Y,2011-02
KEYSBOROUGH,3173,Staffordshire Bull Terrier,Tan & White,Y,2010-11
KEYSBOROUGH,3173,Cavalier King Charles Spaniel,Blenheim,N,2012-10
KEYSBOROUGH,3173,Cavalier King Charles Spaniel,Blenheim,N,2012-10
KEYSBOROUGH,3173,Wolf Hound X,Brindle,Y,2010-11
KEYSBOROUGH,3173,Jack Russell Terrier,Tan & White,Y,2012-09
KEYSBOROUGH,3173,Blue Heeler,Blue & Tan,Y,2004-02
KEYSBOROUGH,3173,German Shepherd,Grey & Black,Y,2007-03
KEYSBOROUGH,3173,Golden Retriever,Gold,N,2013-05
KEYSBOROUGH,3173,Golden Retriever,Gold,Y,2006-01
KEYSBOROUGH,3173,Staffordshire Bull Terrier,Black & Brindle,Y,2005-10
KEYSBOROUGH,3173,Kelpie X,Tan,Y,2011-03
KEYSBOROUGH,3173,Border Collie X,Tri Coloured,Y,2012-07
DANDENONG NORTH,3175,Beagle,Tri Coloured,Y,2009-03
DANDENONG NORTH,3175,Tenterfield Terrier,Tri Coloured,Y,2004-06
DANDENONG NORTH,3175,Miniature Fox Terrier,Tri Coloured,Y,2005-08
DANDENONG NORTH,3175,Maltese X,Black & White,N,2008-07
NOBLE PARK NORTH,3174,Toy Poodle,Apricot & Cream,Y,2014-12
NOBLE PARK NORTH,3174,Jack Russell Terrier,Tri Coloured,N,2005-10
NOBLE PARK NORTH,3174,Jack Russell Terrier X,Black & White,N,2004-11
NOBLE PARK NORTH,3174,Labrador X,Black,Y,2000-12
DANDENONG NORTH,3175,Pomeranian,Tan,N,2008-04
SPRINGVALE SOUTH,3172,Cocker Spaniel,Black & White,Y,2012-04
SPRINGVALE SOUTH,3172,Jack Russell Terrier,White & Tan,N,2008-03
KEYSBOROUGH,3173,Poodle X,Cream,Y,2009-10
KEYSBOROUGH,3173,Labrador,Chocolate,Y,2004-10
KEYSBOROUGH,3173,Kelpie X,Black & White,N,2000-06
KEYSBOROUGH,3173,Bull Terrier X,Tan & White,N,2008-04
KEYSBOROUGH,3173,Staffordshire Bull Terrier X,Brindle,Y,2006-04
KEYSBOROUGH,3173,Maltese X,White,N,2006-07
KEYSBOROUGH,3173,Maltese X,Tri Coloured,Y,2004-04
KEYSBOROUGH,3173,Blue Heeler,Blue Merle,Y,2010-11
KEYSBOROUGH,3173,Fox Terrier,Black & White,Y,2006-04
KEYSBOROUGH,3173,Dachshund,Red,N,2004-01
NOBLE PARK,3174,Labrador X,Bone,N,2004-11
NOBLE PARK,3174,Boxer,Brindle,Y,2005-07
NOBLE PARK,3174,Australian Terrier X,White & Tan,Y,2002-06
NOBLE PARK,3174,English Staffordshire Bull Terrier,Chocolate,N,2011-05
NOBLE PARK,3174,Pomeranian,Fawn,Y,2005-05
NOBLE PARK,3174,Pomeranian,Fawn & Tan,Y,2005-05
SPRINGVALE SOUTH,3172,Chihuahua X,Tan & White,Y,2008-02
SPRINGVALE SOUTH,3172,Maltese X,Black & Tan,Y,2011-09
DANDENONG,3175,American Cocker Spaniel,Black,Y,2004-11
DANDENONG,3175,Maltese X,White,Y,2005-05
DANDENONG,3175,Maltese X,White,Y,2013-02
DANDENONG,3175,Maltese X,White,Y,2013-02
DANDENONG,3175,Golden Retriever,Gold & White,Y,2014-12
DANDENONG,3175,Labrador X,Black,Y,2010-05
DANDENONG,3175,Rottweiler,Black & Tan,N,2008-05
DANDENONG,3175,Labrador X,Black,Y,2010-05
DANDENONG,3175,American Bull Dog X,Tan & Black,N,2009-06
DANDENONG,3175,Maltese X,Cream,N,2009-05
DANDENONG,3175,Border Collie,Black & White,Y,2006-02
DANDENONG,3175,Rottweiler X,Tri Coloured,Y,2015-07
DANDENONG,3175,Cocker Spaniel,Gold & Tan,Y,2011-04
DANDENONG,3175,Dachshund,Red & Black,N,2005-12
DANDENONG,3175,Bull Mastiff X,Tan & White,N,2009-04
DANDENONG,3175,Pug X,Tan,N,2008-01
DANDENONG,3175,Japanese Spitz,White,N,2010-04
DANDENONG,3175,Cavalier King Charles Spaniel,Tri Coloured,N,2008-03
DANDENONG,3175,Cavalier King Charles Spaniel,Blenheim,Y,2008-06
DANDENONG,3175,Bichon Frise,White,N,2008-03
DANDENONG,3175,Jack Russell Terrier,Tan & White,Y,2005-12
KEYSBOROUGH,3173,Pomeranian,Unknown,N,2015-03
KEYSBOROUGH,3173,Jack Russell Terrier,White & Black,Y,2005-05
KEYSBOROUGH,3173,Labrador,Black,Y,2007-10
KEYSBOROUGH,3173,Staffordshire Bull Terrier,White & Black,Y,2005-03
KEYSBOROUGH,3173,English Staffordshire Bull Terrier X,Black,Y,2011-11
KEYSBOROUGH,3173,Maltese X,Tan & White,Y,2008-04
